

# Contour value=10.00 
mST_GeV,deltaM_GeV
1.1314e+03,4.9030e+02
1.1319e+03,4.9302e+02
1.1325e+03,4.9573e+02
1.1330e+03,4.9844e+02
1.1335e+03,5.0116e+02
1.1340e+03,5.0387e+02
1.1345e+03,5.0658e+02
1.1351e+03,5.0930e+02
1.1356e+03,5.1201e+02
1.1361e+03,5.1472e+02
1.1366e+03,5.1744e+02
1.1371e+03,5.2015e+02
1.1375e+03,5.2286e+02
1.1379e+03,5.2558e+02
1.1383e+03,5.2829e+02
1.1387e+03,5.3101e+02
1.1391e+03,5.3372e+02
1.1394e+03,5.3643e+02
1.1398e+03,5.3915e+02
1.1402e+03,5.4186e+02
1.1406e+03,5.4457e+02
1.1410e+03,5.4729e+02
1.1412e+03,5.4847e+02
1.1414e+03,5.5000e+02
